@itemudg 62,68,126,118,98,118,118,62 ; bible
@itemudg 24,52,52,90,90,191,161,126 ; triangle
@itemudg 0,0,129,126,129,126,129,126 ; plates
@itemudg 0,0,4,210,203,43,86,124 ; eaten chicken
@itemudg 112,138,253,249,249,254,248,112 ; mug
@itemudg 18,36,40,40,124,174,172,120 ; rabbit head
@itemudg 64,160,56,108,108,118,58,31 ; leaf
@itemudg 66,165,165,127,110,126,243,126 ; shopping bag
@itemudg 0,25,34,124,170,170,68,0 ; glasses
@itemudg 0,0,2,28,56,4,124,62 ; poop
@itemudg 55,75,133,205,253,252,120,48 ; tp
@itemudg 14,24,24,30,44,80,224,192 ; wrench
@itemudg 62,127,83,83,62,42,22,60 ; skull
@itemudg 66,36,126,219,255,165,36,16 ; space invader
@itemudg 56,68,68,68,124,124,124,56 ; pill
@itemudg 0,62,65,62,8,8,8,28 ; wine glass
@itemudg 26,13,60,126,255,255,127,62 ; trash bag
